Price,Close,High,Low,Open,Volume
Ticker,SPGI,SPGI,SPGI,SPGI,SPGI
Date,,,,,
2020-01-02,266.2787780761719,266.3362790724304,262.33022034530325,263.1448567892448,1092300
2020-01-03,265.3875427246094,266.62387291601806,262.6273772962158,263.12572912445296,576800
2020-01-06,267.4289245605469,267.4576750659935,263.3365840497743,264.13206344665815,875100
2020-01-07,269.28814697265625,274.7605398762301,269.27855372355884,271.3390841874678,1253700
2020-01-08,273.1504211425781,274.8755094091454,269.431867648099,270.1985670448606,1004500
2020-01-09,277.5302734375,278.7953539355216,273.79256219126444,273.79256219126444,1316100
2020-01-10,276.9168701171875,278.8048972769948,276.1022337643904,278.5461428227817,834500
2020-01-13,281.9963684082031,282.0155549066299,276.43772393867914,276.74441543639784,961700
2020-01-14,278.0957336425781,282.01554092640146,277.83694990833294,281.6225979483744,1249100
2020-01-15,282.1305847167969,283.8269228752542,277.9328358270846,277.9328358270846,1066200
2020-01-16,285.7820129394531,285.79160618854246,281.7855180147226,283.86523497507045,789500
2020-01-17,284.4403381347656,286.98006365877023,283.11775636249075,286.9609064039971,2246600
2020-01-21,283.8747863769531,285.20693165701226,281.77591247554125,282.4947041062246,1423500
2020-01-22,285.04400634765625,287.12369364000847,284.5264682125035,286.4624030361201,956300
2020-01-23,284.8236389160156,285.5424306904096,282.1401613240296,282.1401613240296,813400
2020-01-24,282.5617370605469,286.6924194044351,281.11458996328605,286.241975530369,835800
2020-01-27,280.9325256347656,281.69922500846343,277.94235713055525,278.89115272385493,919400
2020-01-28,284.909912109375,286.0120537311426,281.1913577004497,281.8526485230532,882400
2020-01-29,284.9385986328125,288.1971150102628,284.6510936648081,286.48161995499026,760100
2020-01-30,287.3824462890625,287.61247948530763,283.0026317811785,284.2964624871282,913900
2020-01-31,281.5075988769531,287.4112783619696,280.4917089223204,286.0886969216376,1209700
2020-02-03,283.36688232421875,284.9961260400896,282.03470760434647,282.3893068469857,1002300
2020-02-04,285.5232849121094,288.36970162299554,285.41784690548445,286.5295817376121,1308000
2020-02-05,282.5042724609375,287.8616626544889,279.523697158658,287.104556516847,1324200
2020-02-06,283.22314453125,286.4529404601646,280.10837986575734,284.622413716257,1975100
2020-02-07,283.1848449707031,285.23578260372364,282.47561709022006,284.7469947634567,1401600
2020-02-10,284.2198181152344,284.4402580978243,281.5171543191345,282.1784450191953,1089000
2020-02-11,281.8813781738281,285.6765905614431,280.40545087120086,284.814046279855,1397500
2020-02-12,291.1872863769531,291.48441384359865,282.41803379875427,283.06016723021423,1288000
2020-02-13,288.810546875,291.1777690050309,285.2165879274458,289.3568356544793,1107700
2020-02-14,294.84832763671875,294.8962646284579,288.0437608648551,289.17468195062514,979300
2020-02-18,293.9761657714844,296.0750395448808,291.61853755599833,294.1582619799675,1047000
