Price,Close,High,Low,Open,Volume
Ticker,EL,EL,EL,EL,EL
Date,,,,,
2020-01-02,194.0175018310547,195.52254010985797,193.59421430048775,194.28088137687894,1138700
2020-01-03,192.55007934570312,194.29027879530076,191.63765230712804,192.39017137595692,1076200
2020-01-06,195.05221557617188,195.18390534782438,191.3742889029439,191.71292179478013,2428900
2020-01-07,193.8199920654297,194.9111441996494,193.00162078820986,193.78235821080966,1180600
2020-01-08,195.39085388183594,196.9617298990406,193.77294272635743,195.16509382998694,1614300
2020-01-09,199.3791961669922,199.4356325919096,194.8170604447126,196.63249909406548,1277100
2020-01-10,199.05938720703125,199.5391255765492,197.7613062352495,199.5391255765492,1212800
2020-01-13,200.799560546875,200.85599697040345,197.95880762003694,199.05936093816788,1235500
2020-01-14,202.89720153808594,203.72497404892815,200.61144019988635,201.06294595438703,1434500
2020-01-15,205.52162170410156,206.10481726787754,203.17940945575592,203.17940945575592,1696500
2020-01-16,205.00425720214844,206.2741198581667,204.3081744511519,205.5216150337601,1623800
2020-01-17,206.82911682128906,207.3370590260375,205.43695128376692,206.0577806975449,1147000
2020-01-21,204.8067626953125,204.9948889448977,200.10353469011835,202.6244723645211,2104100
2020-01-22,200.01882934570312,204.70323923296849,198.9747124190063,203.42396096560216,2528600
2020-01-23,196.4725799560547,199.0217350439982,194.44079700878453,196.67952307108072,2781200
2020-01-24,193.15213012695312,197.14987322464341,192.20208340497464,196.59489586288697,2420800
2020-01-27,185.2977294921875,186.47353615956317,179.7291108378693,180.61330539512448,4042600
2020-01-28,185.41058349609375,187.31069089633652,183.51989173422268,186.2101376898945,2035600
2020-01-29,186.9344482421875,188.42066963231318,186.2007460101533,186.86861053065064,1446100
2020-01-30,186.87803649902344,187.17904994326003,183.54815780254478,185.94679230316646,1497600
2020-01-31,183.5763397216797,186.99087239180423,183.11541835874348,185.87151654428746,1620600
2020-02-03,184.5546417236328,187.48004976303824,183.46348951370095,184.06550205140283,2301600
2020-02-04,188.5241241455078,190.21728850980358,186.68046744569182,187.5646619468889,2252200
2020-02-05,189.37075805664062,192.12684246915273,188.64645700618445,191.51542863827996,2293800
