Ticker
AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
JPM
JNJ
V
UNH
HD
PG
BAC
MA
DIS
XOM
VZ
ADBE
NFLX
CMCSA
KO
PFE
T
INTC
CSCO
PEP
ABT
CRM
CVX
LLY
MRK
WMT
ACN
NKE
ORCL
MCD
DHR
AMGN
QCOM
COST
UPS
TXN
MDT
IBM
HON
SBUX
GE
BA
MMM
CVS
GM
F
DE
CAT
AXP
LMT
BLK
USB
C
GS
MO
TMO
SPGI
CCI
ADI
BDX
AMAT
ISRG
BKNG
SYK
SCHW
EL
MDLZ
VRTX
REGN
BIIB
ADP
FIS
PLD
ZTS
WFC
PNC
MCO
CMI
EOG
SLB
OXY
PSA
KHC
CTAS
JCI
MET
FDX
NEM
AEP
CMS
O
DVN
EMR
ETN
D
NOC
ITW
VLO
AON
WBA
ADM
IP
APA
WEC
ALL
AIG
TRV
SPG
KMB
EXC
HLN
STT
GIS
MRVL
DXC
ECL
CNP
HES
PGR
RSG
TSN
EXPE
VTR
AME
WMB
RCL
LHX
PRU
UNP
WM
PYPL
SQ
SHOP
BABA
JD
NTES
BIDU
XEL
CHTR
FTNT
LRCX
INTU
ADSK
ANSS
CDNS
CTSH
MCHP
MU
NVAX
TGT
